,Island,P.locat,NP,GP,BFj,BUj,lon,lat,site,LCC,,site2
122,Palau,patch,4.212411023,4.160526865,0.005097352,2.08E-05,134.42516,7.47857,21,287,,134.42516
126,Palau,patch,6.457392537,6.409417585,0.009027363,0,134.42516,7.47857,21,405,,134.42516
121,Palau,patch,7.307794501,7.253841614,0.003049428,0,134.42516,7.47857,21,391,,134.42516
125,Palau,patch,9.049795295,9.00513136,0.01233838,0,134.42516,7.47857,21,406,,134.42516
124,Palau,patch,9.656860693,9.609155521,0.009297142,0,134.42516,7.47857,21,433,,134.42516
123,Palau,patch,10.34566656,10.29280089,0.00413664,0,134.42516,7.47857,21,574,,134.42516
81,Palau,inner,1.377266816,1.338565961,0.01830146,0,134.42958,7.33967,14,253,,134.42958
79,Palau,inner,2.901755733,2.848477422,0.003724004,0,134.42958,7.33967,14,442,,134.42958
80,Palau,inner,5.678701964,5.622756131,0.001056482,0,134.42958,7.33967,14,473,,134.42958
82,Palau,inner,7.115407295,7.061513769,0.003108789,0,134.42958,7.33967,14,508,,134.42958
83,Palau,inner,7.209356586,7.15358399,0.001229719,0,134.42958,7.33967,14,482,,134.42958
84,Palau,inner,14.53364572,14.4782537,0.001610294,0,134.42958,7.33967,14,758,,134.42958
75,Palau,inner,2.261203858,2.204458441,0.000256897,0,134.430583,7.3431,13,283,,134.430583
73,Palau,inner,3.086193508,3.029467571,0.000276378,0,134.430583,7.3431,13,357,,134.430583
78,Palau,inner,5.502202725,5.446185435,0.000985025,0,134.430583,7.3431,13,397,,134.430583
74,Palau,inner,5.609745324,5.552743009,0,0,134.430583,7.3431,13,452,,134.430583
76,Palau,inner,9.424647946,9.368461793,0.000816161,0,134.430583,7.3431,13,506,,134.430583
77,Palau,inner,10.05381082,9.999689663,0.002881158,0,134.430583,7.3431,13,503,,134.430583
17,Palau,outer,0.671941969,0.617696577,0.002752766,4.16E-06,134.4509,7.25032,3,18,,134.4509
18,Palau,outer,1.694935658,1.649879011,0.011820761,0.000124907,134.4509,7.25032,3,38,,134.4509
14,Palau,outer,1.831450571,1.783527715,0.008383846,0.000695613,134.4509,7.25032,3,78,,134.4509
15,Palau,outer,3.918222177,3.866312109,0.00479612,0.000296126,134.4509,7.25032,3,98,,134.4509
16,Palau,outer,5.164267811,5.108211909,0.000293747,0.000652665,134.4509,7.25032,3,113,,134.4509
13,Palau,outer,8.453833816,8.404070389,0.007238888,0,134.4509,7.25032,3,208,,134.4509
57,Palau,inner,3.287909494,3.232125045,0.001217866,0,134.46147,7.45037,10,622,,134.46147
60,Palau,inner,3.337138838,3.285097243,0.004960719,0,134.46147,7.45037,10,629,,134.46147
59,Palau,inner,3.647928806,3.591993939,0.001067447,0,134.46147,7.45037,10,536,,134.46147
56,Palau,inner,4.401928262,4.346683813,0.001757866,0,134.46147,7.45037,10,614,,134.46147
55,Palau,inner,7.216415633,7.164096133,0.004682815,0,134.46147,7.45037,10,696,,134.46147
58,Palau,inner,10.19498514,10.14015226,0.002169429,0,134.46147,7.45037,10,637,,134.46147
72,Palau,inner,3.322764878,3.270117174,0.003188628,0.001165983,134.46776,7.32718,12,463,,134.46776
67,Palau,inner,3.401055972,3.344885945,0.000832288,0,134.46776,7.32718,12,627,,134.46776
70,Palau,inner,4.748951395,4.69857549,0.00662641,0,134.46776,7.32718,12,378,,134.46776
69,Palau,inner,6.250196589,6.202982631,0.009788357,0,134.46776,7.32718,12,661,,134.46776
68,Palau,inner,11.84405147,11.79197197,0.004594838,0.000327979,134.46776,7.32718,12,668,,134.46776
71,Palau,inner,12.60686146,12.55315629,0.003297142,0,134.46776,7.32718,12,577,,134.46776
61,Palau,inner,0.057002315,0,0,0,134.53004,7.32626,11,0,,134.53004
66,Palau,inner,1.571343258,1.515399501,0.001058558,0,134.53004,7.32626,11,344,,134.53004
62,Palau,inner,2.112710887,2.055708572,0,0,134.53004,7.32626,11,186,,134.53004
63,Palau,inner,2.36429592,2.309976828,0.002683222,0,134.53004,7.32626,11,424,,134.53004
